1,1,Video analysis: Anomaly detection,The objective is to analyse videos to detect if an abnormal event is happening. Study in particular context. Context by email with short CV for more information.,,
2,1,Gesture recognition,"Gesture recognition: In smart context, we can now control some devices from distance by hand. The objective is to recognize the command wanted by user. Contact by email with short CV for more information","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, HEDSPI",
3,1,Video summarization - Tóm lược video,The objective is to analyse video from surveillance camera to get only useful information. That helps to reduce storage volume and video duration. Contact by email with short CV for more information,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
4,1,Object classification / retrieval,The objective is to analyse video from surveillance camera to get only useful information. That helps to reduce storage volume and video duration. Contact by email with short CV for more information,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, HEDSPI",
5,1,Video analysis: human tracking & behavior analysis,,,
6,1,Text detection and recognition,,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, HEDSPI",
7,1,Other applications,,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, HEDSPI",
8,2,Ứng dụng thêm dấu tiếng Việt,Xây dựng một hệ thống cho phép thêm dấu tiếng việt bằng phương pháp học máy.,"VB2, SIE, CTTT, CN, VLVH",
9,2,Ứng dung sửa lỗi chính tả cho các phần mềm soạn thảo trên điện thoại di động,"Việc soạn thảo văn bản tiếng Việt trên điện thoại di động thường gặp một số lỗi như gõ nhầm phím, kẹt phím, bỏ sai dấu...Ứng dụng cho phép gợi ý một danh sách từ để chọn với ưu tiên cho những lỗi người soạn thảo hay mắc nhất.","VB2, KSCQ, SIE, CTTT, CN, HEDSPI",
10,2,Xây dựng một ứng dụng cho phép chia sẻ công thức nấu ăn,"Chia sẻ công thức cho những đối tượng khác ở mức độ khác nhau, ví dụ cho phép xem, cho phép chỉnh sửa Gợi ý công thức nấu ăn theo một số tiêu chí như từ khóa, gu ẩm thực của người dùng, đánh giá của cộng đồng... Tạo diễn đàn để trao đổi, đánh giá về món ăn và kinh nghiệm nấu ăn","VB2, CNKT, KSCQ, SIE, CTTT",
11,2,Hệ thống dạy ngoại ngữ online,"Xây dựng một ứng dụng cho phép Cung cấp các bài giảng về một ngôn ngữ ở các trình độ khác nhau, có thể dưới dạng video hoặc văn bản Hướng dẫn các kỹ năng cơ bản: nghe, nói, đọc, viết Hướng dẫn luyện phát âm, luyện nói bằng hình thức trao đổi trực tiếp Tạo lập công cụ cho phép củng cố kiến thức và đánh giá kiến thức của học viên. Có thể thu phí và quản lý tài chính","VB2, CNKT, KSCQ, SIE, CTTT, CN, ThSKT",
12,2,Hệ thống gợi ý công thức nấu ăn dựa trên nguyên liệu,"Xây dựng một hệ gợi ý công thức nấu ăn dựa trên nguyên liệu. Độ quan trọng của mỗi nguyên liệu sẽ được đánh giá. Dữ liệu về công thức nấu ăn sẽ được trích chọn và hiển thị theo một tiêu chí nào đó, ví dụ độ liên quan của nguyên liệu với công thức, hay sự lành mạnh về dinh dưỡng.","KSCQ, SIE, CTTT, CN, HEDSPI",
13,3,Bộ đọc tiếng Việt trên Windows,"Tìm hiểu về chuẩn tích hợp tiếng nói của Microsoft SAPI - Phân tích, thiết kế, xây dựng bộ đọc tiếng Việt trên Windows cho phép: + Tương tác với các ứng dụng trên Windows để chuyển văn bản thành giọng nói + Các tuỳ chỉnh về từ điển viết tắt / vay mượn + Cơ chế streaming để thời gian đáp ứng nhanh hơn * Đây là định hướng công nghệ, có nhiều vấn đề thách thức cần giải quyết","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
14,3,Cải tiến chất lượng tóm tắt văn bản,"Tìm hiểu các kỹ thuật tóm tắt văn bản sử dụng học máy không giám sát - Tìm hiểu các kỹ thuật tóm tắt văn bản sử dụng học máy giám sát / học sâu (Deep Learning) - Xây dựng và thử nghiệm cho tiếng Anh và tiếng Việt * Đây là định hướng nghiên cứu, nếu sinh viên có mong muốn học tiếp hoặc muốn đi làm về lĩnh vực chuyên sâu","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
15,3,Tổng hợp tiếng nói trên thiết bị,"Tìm hiểu về tổng hợp tiếng nói tiếng Việt - Thiết kế và xây dựng hệ thống tổng hợp tiếng nói tiếng Việt trên thiết bị (C/C++) * Đây là định hướng nghiên cứu, nếu sinh viên có mong muốn học tiếp hoặc muốn đi làm về lĩnh vực chuyên sâu.","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
16,3,"Ứng dụng dạy tiếng Việt VietStudy theo phương pháp ngữ âm học (web, app)","Dự án VietStudy cung cấp môi trường học tập online trên web, app cho phép trẻ em người Việt tại Việt Nam hoặc tại nước ngoài có thể học tiếng Việt theo phương pháp ngữ âm học.","ThSKH, CNTH, IPE, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
17,3,Kiểm thử tự động cho các hệ thống web/app/API,"Kiểm thử tự động (Automated Testing) là một hoạt động quan trọng trong SE, giúp xử lý một cách tự động các bước thực hiện các testcase, kiểm thử tự động bằng một công cụ nhằm rút ngắn thời gian kiểm thử. Nghiên cứu và phát triển kiểm thử tự động cho một hệ thống web/app/API: - Phân tích yêu cầu của hệ thống cần kiểm thử - Thiết kế các trường hợp kiểm thử, sử dụng phương pháp và kỹ thuật kiểm thử phù hợp - Nghiên cứu công cụ, framework cho công việc kiểm thử tự động (VD: Selenium WebDriver, Kobiton...)","ThSKH, CNTH, IPE, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
18,3,Nhận dạng tiếng nói tiếng Việt sử dụng học sâu,"Nghiên cứu về học sâu (deep learning) và nhận dạng tiếng nói (ASR) - Xây dựng hệ thống ASR sử dụng các mô hình học sâu hiện đại * Đây là định hướng nghiên cứu, nếu sinh viên có mong muốn học tiếp hoặc muốn đi làm về lĩnh vực chuyên sâu.","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
19,3,Hiểu ngôn ngữ tự nhiên dạng nói,"Nghiên cứu và đề xuất mô hình hiểu ngôn ngữ tự nhiên dạng nói: Có thể end-to-end hoặc tách thành bài toán độc lập từ tiếng nói sang văn bản, và hiểu ngôn ngữ tự nhiên dạng văn bản - Nghiên cứu và làm việc với các mô hình học sâu hiện đại","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
